"V1","V2","V3","V4","V5","V6","V7","V8"
"Riboflavin","Niacin","Vitamin B6","Folate","Vitamin B12","Pantothenic","Biotin","Choline"
"(mg/d)","(mg/d)e","(mg/d)","(mg/d)f","(mg/d)","Acid (mg/d)","(mg/d)","(mg/d)g"
"0.3*","2*","0.1*","65*","0.4*","1.7*","5*","125*"
"0.4*","4*","0.3*","80*","0.5*","1.8*","6*","150*"
"0.5","6","0.5","150","0.9","2*","8*","200*"
"0.6","8","0.6","200","1.2","3*","12*","250*"
"0.9","12","1.0","300","1.8","4*","20*","375*"
"1.3","16","1.3","400","2.4","5*","25*","550*"
"1.3","16","1.3","400","2.4","5*","30*","550*"
"1.3","16","1.3","400","2.4","5*","30*","550*"
"1.3","16","1.7","400","2.4h","5*","30*","550*"
"1.3","16","1.7","400","2.4h","5*","30*","550*"
"0.9","12","1.0","300","1.8","4*","20*","375*"
"1.0","14","1.2","400i","2.4","5*","25*","400*"
"1.1","14","1.3","400i","2.4","5*","30*","425*"
"1.1","14","1.3","400i","2.4","5*","30*","425*"
"1.1","14","1.5","400","2.4h","5*","30*","425*"
"1.1","14","1.5","400","2.4h","5*","30*","425*"
"1.4","18","1.9","600j","2.6","6*","30*","450*"
"1.4","18","1.9","600j","2.6","6*","30*","450*"
"1.4","18","1.9","600j","2.6","6*","30*","450*"
"1.6","17","2.0","500","2.8","7*","35*","550*"
"1.6","17","2.0","500","2.8","7*","35*","550*"
"1.6","17","2.0","500","2.8","7*","35*","550*"
