"V1","V2","V3","V4","V5","V6","V7"
"1–3 y","300","15","5*","6","30*","0.5"
"4–8 y","400","25","5*","7","55*","0.6"
"Males","","","","","",""
"9–13 y","600","45","5*","11","60*","0.9"
"14–18 y","900","75","5*","15","75*","1.2"
"19–30 y","900","90","5*","15","120*","1.2"
"31–50 y","900","90","5*","15","120*","1.2"
"51–70 y","900","90","10*","15","120*","1.2"
"> 70 y","900","90","15*","15","120*","1.2"
"Females","","","","","",""
"9–13 y","600","45","5*","11","60*","0.9"
"14–18 y","700","65","5*","15","75*","1.0"
"19–30 y","700","75","5*","15","90*","1.1"
"31–50 y","700","75","5*","15","90*","1.1"
"51–70 y","700","75","10*","15","90*","1.1"
"> 70 y","700","75","15*","15","90*","1.1"
"Pregnancy","","","","","",""
"14–18 y","750","80","5*","15","75*","1.4"
"19–30 y","770","85","5*","15","90*","1.4"
"31–50 y","770","85","5*","15","90*","1.4"
"Lactation","","","","","",""
"14–18 y","1,200","115","5*","19","75*","1.4"
"19–30 y","1,300","120","5*","19","90*","1.4"
"31–50 y","1,300","120","5*","19","90*","1.4"
